"Newton MRT","1.3124816","103.8379255","","Newton","Singapore","MapMRTNewton.png"
"Orchard MRT","1.3042924","103.8324935","","Orchard","Singapore","MapMRTNSL.png"
"Outram MRT","1.2813209","103.8389699","","Outram Park","Singapore","MapMRTOutramPark.png"
"Paya Lebar MRT","1.318089","103.892982","","Paya Lebar","Singapore","MapMRTPayaLebar.png"
"Queenstown MRT","1.294443","103.806114","","Queenstown","Singapore","MapMRTEWL.png"
"Raffles Place MRT","1.283931","103.851461","","Raffles Place","Singapore","MapMRTRafflesPlace.png"
"Redhill MRT","1.289732","103.81675","","Redhill","Singapore","MapMRTEWL.png","MapMRTEWL.png"
"Pasir Ris MRT","1.372518","103.949516","","Pasir Ris","Singapore","MapMRTEWL.png"
"Simei MRT","1.3431843","103.9533524","","Simei","Singapore","MapMRTEWL.png"
"Somerset MRT","1.3001505","103.8385006","","Somerset","Singapore","MapMRTNSL.png"
"Tiong Bahru MRT","1.286081","103.826958","","Tiong Bahru","Singapore","MapMRTEWL.png"
"Tanjong Pagar MRT","1.27644","103.845711","","Tanjong Pagar","Singapore","MapMRTEWL.png"
"Tanah Merah MRT","1.327257","103.946579","","Tanah Merah","Singapore","MapMRTEWL.png"
"Tampines MRT","1.353092","103.945229","","Tampines","Singapore","MapMRTTampines.png"
"Toa Payoh MRT","1.332702","103.847809","","Toa Payoh","Singapore","MapMRTNSL.png"
"Yio Chu Kang MRT","1.381905","103.844818","","Yio Chu Kang","Singapore","MapMRTNSL.png"
"Yishun MRT","1.429463","103.835182","","Yishun","Singapore","MapMRTNSL.png"
"Harbourfront MRT","1.2653193","103.8205707","","HarbourFront","Singapore","MapMRTHarbourFront.png"
"Clarke Quay MRT","1.288477","103.846756","","Clarke Quay","Singapore","MapMRTNEL.png"
"Farrer Park MRT","1.312426","103.854317","","Farrer Park","Singapore","MapMRTNEL.png"
"Boon Keng MRT","1.319582","103.861938","","Boon Keng","Singapore","MapMRTNEL.png"
"Potong Pasir MRT","1.3313554","103.8692779","","Potong Pasir","Singapore","MapMRTNEL.png"
"Woodleigh MRT","1.33935","103.87079","","Woodleigh","Singapore","MapMRTNEL.png"
"Serangoon MRT","1.349216","103.8734433","","Serangoon","Singapore","MapMRTSerangoon.png"
"Kovan MRT","1.3604989","103.8851688","","Kovan","Singapore","MapMRTNEL.png"
"Buangkok MRT","1.3824314","103.8927466","","Buangkok","Singapore","MapMRTNEL.png"
"Sengkang MRT","1.391254","103.89537","","Sengkang","Singapore","MapMRTSengkang.png"
"Punggol MRT","1.404705","103.902222","","Punggol LRT","Singapore","MapMRTPunggol.png"
"Bras Basah MRT","1.296931","103.850631","","Bras Basah","Singapore","MapMRTCircle.png"
"Esplanade MRT","1.293436","103.855381","","Esplanade","Singapore","MapMRTCircle.png"
"Nicoll Highway MRT","1.299697","103.863611","","Nicoll Highway","Singapore","MapMRTCircle.png"
"Stadium MRT","1.302856","103.875306","","Stadium","Singapore","MapMRTCircle.png"
"Mountbatten MRT","1.306306","103.882531","","Mountbatten","Singapore","MapMRTCircle.png"
"Dakota MRT","1.308289","103.888253","","Dakota","Singapore","MapMRTCircle.png"
"Tai Seng MRT","1.335833","103.887942","","Tai Seng","Singapore","MapMRTCircle.png"
"Bartley MRT","1.34261","103.87997","","Bartley","Singapore","MapMRTCircle.png"
"Lorong Chuan MRT","1.35202","103.86353","","Lorong Chuan","Singapore","MapMRTCircle.png"
"Marymount MRT","1.349078","103.839492","","Marymount","Singapore","MapMRTCircle.png"
"Caldecott MRT","1.337761","103.839447","","Caldecott","Singapore","MapMRTCircle.png"
"Botanic Gardens MRT","1.322519","103.815406","","Botanic Gardens","Singapore","MapMRTBotanicGardens.png"
"Farrer Road MRT","1.317319","103.807431","","Farrer Rd","Singapore","MapMRTCircle.png"
"Holland Village MRT","1.312078","103.796208","","Holland Village","Singapore","MapMRTCircle.png"
"one-north MRT","1.299331","103.787067","","One-North","Singapore","MapMRTCircle.png"
"Kent Ridge MRT","1.293383","103.784394","","Kent Ridge","Singapore","MapMRTCircle.png"
"Haw Par Villa MRT","1.282386","103.781867","","Haw Par Villa","Singapore","MapMRTCircle.png"
"Pasir Panjang MRT","1.276167","103.791358","","Pasir Panjang","Singapore","MapMRTCircle.png"
"Labrador Park MRT","1.272267","103.802908","","Labrador Park","Singapore","MapMRTCircle.png"
"Telok Blangah MRT","1.270572","103.809678","","Telok Blangah","Singapore","MapMRTCircle.png"
"Promenade MRT","1.29313","103.861064","","Promenade","Singapore","MapMRTPromenade.png"
"Downtown MRT","1.3549241","103.8502303","3 Bishan Street 14","Bishan","Singapore","MapMRTCircle.png"
"Chinatown MRT","1.2844398","103.8433762","","Chinatown","Singapore","MapMRTChinatown.png"
"Botanic Gardens MRT","1.322519","103.815406","","Botanic Gardens","Singapore","MapMRTBotanicGardens.png"
"Little India MRT","1.307231","103.849823","","Little India","Singapore","MapMRTLittleIndia.png"
"Admiralty MRT","1.440689","103.800933","","Admiralty","Singapore","MapMRTNSL.png"
"Woodlands MRT","1.437094","103.786483","","Woodlands","Singapore","MapMRTWoodlands.png"
"Marsiling MRT","1.432636","103.774283","","Marsiling","Singapore","MapMRTNSL.png"
"Yew Tee MRT","1.396986","103.747239","61 Choa Chu Kang Dr","","Singapore","MapMRTNSL.png"
"Sembawang MRT","1.449025","103.820153","","Sembawang","Singapore","MapMRTNSL.png"
"Dover MRT","1.311314","103.778658","","Dover","Singapore","MapMRTEWL.png"
"Pioneer MRT","1.337578","103.697217","31 Jurong West Street 63","","Singapore","MapMRTEWL.png"
"Joo Koon MRT","1.327739","103.678486","","Joo Koon","Singapore","MapMRTEWL.png"
"Expo MRT","1.335469","103.961767","Expo Dr","","Singapore","MapMRTEWL.png"
"Changi Airport MRT","1.357372","103.988836","T2 Blvd","Changi International Airport (SIN)","Singapore","MapMRTEWL.png"
"MacPherson MRT","1.32665","103.890019","","MacPherson","Singapore","MapMRTCircle.png"
"Bayfront MRT","1.282347","103.859317","","Bayfront","Singapore","MapMRTCircle.png"
